StationCode,saltwater
37500,True
38000,True
39000,True
4000,True
40000,True
404SMB000,False
404SMB004,False
404SMB041,True
405LA4050,True
405LA4114,True
405LA4146,True
405LA4162,True
405LA4178,True
405LA4210,True
405LA4242,True
405LA4266,True
405LA4306,True
405LA4338,True
405LA4354,True
405LA4370,True
405LA4400,True
405LA4408,True
405LA4464,True
405LA4472,True
405LA4488,True
405LA4504,True
405LA4616,True
405LA4632,True
405LA4656,True
405LA4784,True
405LA4792,True
41000,True
42000,True
43000,True
44000,True
45000,True
46000,True
47000,True
48000,True
49000,True
5000,True
50000,True
504BCAWAB,False
504BCHROS,False
504BUT901,False
504ELD99W,False
504GLE001,False
504MILH99,False
504SACHMN,False
504SACRBF,False
504TEH900,False
504TEH901,False
504TEH902,False
504TEH903,False
504TEH905,False
504TEH906,False
504XSTYHY,False
506P00012,False
506SHA950,False
506SHA951,False
506SHA953,False
508BATJFR,False
508BERPRK,False
508CRNCCR,False
508SACBLF,False
508SACBND,False
508SHA900,False
508SHA901,False
508SHA902,False
508SHA903,False
508SHA904,False
508SHA905,False
508STLDER,False
508TEH904,False
508TEH907,False
510SACHOD,False
510TDNLHT,False
511CAC113,False
511XCCCPY,False
511XTCHWY,False
511XWLSBP,False
511XZDDIX,False
514AMR800,False
514AMR801,False
514AMR802,False
514AMR803,False
514AMR804,False
514AMR805,False
514AMR806,False
514AMR807,False
514AMR808,False
514ELD006,False
514SAC009,False
514SAC010,False
514SAC011,False
514SAC012,False
515HONH70,False
515SUT004,False
515SUT005,False
515YUB001,False
516NEV900,False
516NEV901,False
516NEV902,False
516NEV903,False
516NEV905,False
516NEV906,False
516NEV907,False
516NEV908,False
516NEV910,False
518INABSP,False
518PLU900,False
518PLU901,False
518SUT001,False
518XINDAB,False
518XMFFGR,False
518XSPNGR,False
519AMNDVY,False
519FTRVRA,False
519LSAC52,False
519SACVER,False
519SUT002,False
520BUT900,False
520BUT902,False
520BUTEMR,False
520CBDKLD,False
520CBDKLU,False
520KRCN16,False
520SACLSA,False
520SUT003,False
520XBTTSL,False
520XWADCN,False
525SHA952,False
526P00012,False
526P00013,False
526P00014,False
526T00013,False
526T00034,False
526T00035,False
526T0034B,False
526T0034C,False
526T0034D,False
531CAL005,False
531PLA900,False
531PLA901,False
531PLA902,False
531PLA903,False
531PLA904,False
531SAC001,False
531SAC003,False
531SAC900,False
531SJC201,False
531SJC213,False
531SJC503,False
531SJC504,False
531SJC507,False
531SJC512,False
531SJC513,False
531SJC515,False
